OriginalLabel,PredictedLabel,Std,Text
1,1,0.3146687150001526,선물로 줬는데 너무 만족해해요 지금날씨에 입으면 딱입니다!
1,1,0.2889560759067535,"너무너무 깜찍하고 예뻐요👍👍마스크가 다 같은 마스크가 아니네요😍사이즈랑 모양, 어느것 하나 흠잡을수없이 너무 훌륭합니다~ 우선 소량으로판매하니 실패없이 부담없이 구매할수있으니 완전 만족합니다. 앞으로는 대량구매로왕창 사야겠어요. 이름처럼 너무 예쁜 천사마스크 완전 강추 합니다👍👍"
1,1,0.2841687798500061,일단 저번에 시켜보고선 신랑이라 너무좋아서 얼른다시시켜써요ㅎ요번엔 검정도100개시켜봤습니다~^^저는얼굴이큰편인데..요거대형 싸이즈가딱좋네요  귀아픈거전혀없고 병원서 근무할때 쓰고있는데 가격대비 상품도너무좋고 너무두껍지도 그렇다고 얇지도 딱적당한싸이즈입니당~같이일하는 선생님들한테도 한묶음씩줬어요 써보고들 좋으면 주문하신다고들하시네용♡항상 좋은삼품 좋은가격대   판매해주셔서 감사해용!!^^
1,1,0.2834135293960571,"엘지 65인치 사용하다가 삼성 75인치로 바꿨습니다 10인치가 차이가 많이 나네요
아들 닌텐도 게임 신나게 할듯^^;"
1,1,0.2832275331020355,리뷰들이 다 저보다 가벼우신 분들이 올리셔서 혹시나 타이트하거나 할까 걱정했는데 전혀 그렇지 않네요
1,1,0.2810157239437103,7월 말에 TV 주문 후 오늘 상품 받았어요. 기다리는 데 시간이 조금 걸렸지만 상품을 받고 나니 너무나 대만족이에요. 배송 와주신 기사님도 친절하시고 안전하게 배송해 주셨답니다. TV 시청해보니 역시 가전은 왜 LG라고 하는지 알 것 같네요. 디자인부터 성능까지 마음에 안 드는 구석이 없어요. 화질도 정말 좋네요. 그리고 오프라인 매장보다 훨씬 저렴하게 구매해서 더 기분이 좋아요. 상품 잘 쓰도록 하겠습니다. 적게 일하고 부자 되세요:)
1,1,0.2804932594299316,봄에 입으면 딱 좋은 핏.. 너무 만족합니다
1,1,0.2792146503925323,"제품구매잘한듯하네요지방이라배송이조금늦긴했지만사전배송전화도주시고설치도잘해주시고암튼
구매만족합니다잘쓰겠습니다"
1,1,0.2778203785419464,귀에 너무 끼지도 않고 너무 크지도 않아서 착용감이 편해요그런데 제가 기존에 쓰던 타사 마스크에 비해서 좀 흐느적? 거리는 느낌이 있어요 쓴 상태로 누르면 힘 없이 푹 들어가서 안돌아오네욤(사진에도 보면 푹 들어가져있음) 그래도 가격이 엄청 저렴하고 개별포장이니까 쓸 만해요
1,1,0.2765148878097534,색깔도 이쁘고 사이즈 적당해서 좋아요!
1,1,0.276347815990448,코로나 시작할때 써봐서 편한건 알았고 큰아들이 큰걸 좋아해서 쟁여두려고 샀습니다. 처음 박스 개봉시 낱개로 흩어져있어 열개씩 묶어주지..했더니안에 보니 묶었는데 풀린건더라구요..언제까지 써야할진 모르지만 좋은 마스크^^입니당~
0,1,0.2760447561740875,상품배송이 진짜 빨라요 ㅜ ㅜ 하루만에 도착 실화냐구요 ~~! 남자친구가 키가 커서 롱코트만 좋아하는데 183기준 딱 예쁜핏입니다 👍🏻
1,1,0.27553591132164,구김이 있긴한데 핏이 맘에 들어요
2,2,0.2751666903495788,제가 써본 마스크 중에서 가장 큽니다. 편하게 쓸 수 있어 좋아요. 그리고 10매씩 묶음이어서 좋습니다. 집에서 나갈때에만 사용하는데 개별포장은 쓰레기가 많이 생겨 마음 좀 불편했었거든요.
1,1,0.2747468948364258,M사이즈인데 생각보다 너무 크네요. 코트 열고 다니진 못할 것 같습니다
1,1,0.2738993763923645,코로나19동안 정말 이것저것 다 착용해보았는데~퓨어텍큐큐크린숨 대박!! 만족입니다.모양도 예쁘고 크기도흡족하고 착용시편안함도 굿굿!!고맙습니다.
1,1,0.2737187147140503,KF94라는거랑 필터도 좋고. 재질도 색상도 이뻐서 구입했는데 아이에게 커요 ㅠㅠ광대쪽 있는부분이 커서 들뜨네요.. 끈을 묶으면 넘 낑기고.. 안하면 들뜨고.. 사람 많이 없고 놀터갈때나.. 뭐 이럴때 사용하려고 합니다.
2,2,0.2734600603580475,"정말 너무맛있어서 또 주문하려구요 일주일도 안되어 다먹어벼렸네요ㅎ 너무맛있어요 ㅎ
저흰 에어프라이기에 말랑이 처럼 만들어먹는데 하루에 4,5개씩 들어가네요ㅋ 아이들도 너무 잘먹어요ㅎ"
1,1,0.273186981678009,화면 아주 만족합니다. 설치도 간단하고 모두 좋았어요
1,1,0.2721968293190002,키가 큰 아이아빠한테 어울리고 단정하면서도 놀러갈때 입으니까 괜찮아요
1,1,0.2719666361808777,인터넷에서 구매해서 조마조마 했는데   그것은 거정할꺼 없을꺼 같습니다. 걱정하지말고 저렴하게 구입하세요 감사합니다.
1,1,0.2716633975505829,설치시 친절함과 상냥한 태도로 기분이 좋아짐
1,1,0.2712705433368683,화질 음향 무난하고 크기도 안방용으로 적당합니다
